chemin, class, classe_LOC, classe_CLOC, classe_DC
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\StackedAreaRenderer.java, StackedAreaRenderer, 156, 438, 2.81
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\StackedBarRenderer.java, StackedBarRenderer, 131, 346, 2.64
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\StandardBarPainter.java, StandardBarPainter, 96, 202, 2.1
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\StatisticalBarRenderer.java, StatisticalBarRenderer, 186, 518, 2.78
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\StatisticalLineAndShapeRenderer.java, StatisticalLineAndShapeRenderer, 158, 426, 2.7
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\WaterfallBarRenderer.java, WaterfallBarRenderer, 169, 429, 2.54
][C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\AbstractXYItemRenderer.java, AbstractXYItemRenderer, 552, 1524, 2.76
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\CandlestickRenderer.java, CandlestickRenderer, 390, 818, 2.1
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\ClusteredXYBarRenderer.java, ClusteredXYBarRenderer, 131, 328, 2.5
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\CyclicXYItemRenderer.java, CyclicXYItemRenderer, 188, 437, 2.32
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\DefaultXYItemRenderer.java, DefaultXYItemRenderer, 46, 52, 1.13
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\DeviationRenderer.java, DeviationRenderer, 174, 342, 1.97
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\DeviationStepRenderer.java, DeviationStepRenderer, 109, 282, 2.59
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\GradientXYBarPainter.java, GradientXYBarPainter, 125, 339, 2.71
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\HighLowRenderer.java, HighLowRenderer, 206, 448, 2.17
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\package-info.java, package-info, 3, 4, 1.33
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\SamplingXYLineRenderer.java, SamplingXYLineRenderer, 163, 333, 2.04
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\StackedXYAreaRenderer.java, StackedXYAreaRenderer, 274, 609, 2.22
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\StackedXYAreaRenderer2.java, StackedXYAreaRenderer2, 170, 493, 2.9
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\StackedXYBarRenderer.java, StackedXYBarRenderer, 150, 374, 2.49
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\StandardXYBarPainter.java, StandardXYBarPainter, 96, 202, 2.1
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\StandardXYItemRenderer.java, StandardXYItemRenderer, 436, 902, 2.07
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\VectorRenderer.java, VectorRenderer, 108, 314, 2.91
, C:\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\WindItemRenderer.java, WindItemRenderer, 73, 157, 2.15
